FID,AREA,PERIMETER,HCAD_OLD,HCAD_NUMBE,CCAD_OLD,CCAD_NUMBE,ADR_OLD,ADR_NOW,ADR_NUM,ADR_FRAC,ADR_PREFIX,ADR_STREET,ADR_TYPE,ADR_SUF,ADR_BLDG_I,ADR_UNIT,ADR_CITY,ADR_STATE,ADR_ZIP,ADR_COUNTY,FLOOR_ID,TOTAL_FLOO,TOTAL_UNIT,COM_NAME,FAC_NAME,BUS_NAME,BUS_TYPE,BUS_TYPE2,REST_TYPE,REST,ZONING,YEAR_BUILT,USE_DESCR,JURISDICTI,JURISDIC_1,LABEL1,LABEL2,LABEL3,LABEL4,DATE_MOD1,DATE_MOD2,EDITOR,SOURCE_ID,COMMENT,USER_FLAG1,USER_FLAG2,RECORD_ID,X_COORD,Y_COORD,Z_COORD,Subdivisio,Sub_Sectio,Sub_Lots,created_us,created_da,last_edite,last_edi_1,Sub_Block,GC_Dist,Voter_prec,FEATURE,File_Name,CP,Unique_ID,created__1,created__2,last_edi_2,last_edi_3,LIFECYCLE,PostalCode,geometry,,x,y
4049,0,0,NA,NA,NA,NA, ,100 S ALEXANDER DR,100, ,S,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RESTAURANT,BURGER,DAIRY QUEEN,BURGER, ,fast_food,,GC, , ,BAYTOWN,6,100, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0249,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005300, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-7302,c(3250903.89053996, 13834704.7469866),-10570738.27,3468740.25
19178,0,0,NA,NA,NA,NA, ,1000 N ALEXANDER DR,1000, ,N,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RESTAURANT,RESTAURANT,ASHAS ROTI SHOP, , ,caribbean,,MU, ,RIZ ZONE,BAYTOWN,6,1000, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0249,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0019770, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-5312,c(3251761.17031105, 13837218.0851274),-10570407.28,3469615.33
57821,0,0,NA,NA,NA,NA, ,1002 DECKER DR,1002, , ,DECKER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,RESTAURANT,SOME BURGER,BURGER, ,fast_food,,NSC, ,RIZ ZONE,BAYTOWN,2, , , ,SOMEBURGER, ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0099,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0058461,ROBERT.AMOS,5/10/19 00:00,ROBERT.AMOS,4/7/21 00:00,ACTIVE,77520-4201,c(3244613.43319606, 13837595.8667666),-10572908.47,3469835.33
31470,0,0,NA,NA,NA,NA, ,1006 DECKER DR,1006, , ,DECKER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,RESTAURANT,SARITAS MEXICAN RESTAURANT, , ,mexican,,NSC, ,RIZ ZONE,BAYTOWN,2,1006, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0099,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0031000, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-4435,c(3244499.77156518, 13837666.884356),-10572947.46,3469861.73
49296,0,0,NA,NA,NA,NA, ,1007 N MAIN ST,1007, ,N,MAIN,ST, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,RESTAURANT,GOINGS BBQ,BBQ, ,bbq,,MU, ,RIZ ZONE,BAYTOWN,2,1007, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0099,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0049811, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-4655,c(3248773.37455233, 13838413.3090968),-10571440.23,3470072.85
28722,0,0,NA,NA,NA,NA, ,1020 DECKER DR,1020, , ,DECKER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,RESTAURANT,CEST BON CARIBBEAN CREOLE CUISINE, , ,caribbean,,NSC, ,RIZ ZONE,BAYTOWN,2,1020, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0099,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0029043, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE, ,c(3244385.26480186, 13837852.0450905),-10572985.37,3469928.36
4102,0,0,NA,NA,NA,NA, ,10330 E IH 10,10330, ,E,IH 10, , , , ,BAYTOWN,TX,77523,CHAMBERS,0,NA, ,RETAIL,RESTAURANT,POPEYES CHICKEN,CHICKEN, ,fast_food,,GC, , ,BAYTOWN,5,10330, , , , ,NA,BOB,BAYTOWN, ,City, ,NA,0,0,0, , , , ,,sde,1/9/15 00:00, ,0,0011,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005353, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE, ,c(3268216.21763836, 13868480.3757786),-10564254.52,3480432.80
4161,0,0,NA,NA,NA,NA,10430 HIGHWAY 10,10424 E IH 10 # 400,10424, ,E,IH 10, , , ,400,BAYTOWN,TX,77523,CHAMBERS, ,NA, ,RETAIL,RESTAURANT,PH HOUSE,CHINESE, ,chinese,,GC, , ,BAYTOWN LIMITED,5,10424,400, , ,20141110,NA,BOB,BAYTOWN,RENAMED TO BE IN LINE WITH HARRIS COUNTY 911 FILE,City, ,NA,0,0,0, , , , ,,sde,1/9/15 00:00, ,0,0011,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005412, ,,ROBERT.AMOS,4/20/21 00:00,ACTIVE, ,c(3268960.15259999, 13868336.8420385),-10563995.28,3480372.98
4129,0,0,NA,NA,NA,NA,10430 HIGHWAY 10,10424 E IH 10 # 600,10424, ,E,IH 10, , , ,600,BAYTOWN,TX,77523,CHAMBERS, ,NA, ,RETAIL,RESTAURANT,DOMINOS PIZZA,PIZZA, ,pizza,,GC, , ,BAYTOWN LIMITED,5,10424,600, , ,20141110,NA,BOB,BAYTOWN,RENAMED TO BE IN LINE WITH HARRIS COUNTY 911 FILE,City, ,NA,0,0,0, , , , ,,sde,1/9/15 00:00, ,0,0011,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005380, ,,ROBERT.AMOS,4/20/21 00:00,ACTIVE, ,c(3268941.237959, 13868256.1073177),-10564002.91,3480344.75
4053,0,0,NA,NA,NA,NA, ,105 N ALEXANDER DR,105, ,N,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RESTAURANT,SANDWICH,BAYTOWN SANDWICH AND NOODLE HOUSE,SANDWICH, ,sandwich,,GC, ,RIZ ZONE,BAYTOWN,6,105, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0100,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005304, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-5801,c(3250886.94399842, 13835102.5286695),-10570739.39,3468880.60
